,Date of Designation,City,Country,"Date of
Incident",Description
360,"December 21, 2009",Baghdad,Iraq,"April 9, 2004",Kidnapping and killing of one U.S. Citizen
361,"October 6, 2009",Islamabad,Pakistan,"March 17, 2002",Attackers threw grenades inside a church
362,"October 6, 2009",Bogota,Colombia,"November 15, 2003",Restaurant attacked with grenades by FARC
363,"October 6, 2009",Jakarta,Indonesia,"July 17, 2009",Suicide Bombing
364,"September 1, 2009",Beirut,Lebanon,"June 14, 1985",Hijacking of TWA Flight 847
365,"August 28, 2009",Peshawar,Pakistan,"November 12, 2008",Multiple gunshot wounds
366,"August 28, 2009",West Jerusalem, ,"September 4, 1997",Multiple suicide bombings
367,"August 28, 2009",Jerusalem, ,"June 11, 2003",Bus bombing
368,"August 4, 2009",Baghdad,Iraq,"November 26, 2005",Kidnapping and killing of one American
369,"August 4, 2009",Baghdad,Iraq,"September 16, 2004",Kidnapping and killing of two Americans
370,"August 4, 2009",Nablus,West Bank,"October 10, 2006",Kidnapping of one American
371,"July 9, 2009","Imphal, Manipur",India,"August 16, 2006",Hand grenades thrown into a crowd at a Hindu temple
372,"July 9, 2009",Mindanao,Philippines,"December 2, 1995",Kidnapping of U.S. Citizens     
373,"July 1, 2009",Mutata,Colombia,"January 21, 1992",Kidnapping of U.S. Citizens    
374,"July 1, 2009",Dahab,Egypt,"April 24, 2006",Bombing of the village
375,"February 4, 2009",Zamboanga City,Philippines,"August 10, 1991",Bombing of a foreign missionary ship
376,"January 16, 2009", ,Pakistan (FATA),"February 16, 2008",Kidnapping
377,"December 1, 2008",Mumbai,India,"November 29, 2008",Coordinated attacks on several locations
378,"November 20, 2008",Ramadi,Iraq,"May 10, 2005",Shooting
379,"November 20, 2008",Basrah,Iraq,"January 5, 2007",Kidnapping
380,"November 20, 2008",Basrah,Iraq,"November 16, 2006",Kidnapping
381,"October 7, 2008",Tel Aviv,Israel,"April 17, 2006",Bombing of restaurant
382,"October 1, 2008",London,England,"July 7, 2005",Bombing of London train
383,"September 11, 2008",Kandahar,Afghanistan,"December 6, 2006",IED bombing
384,"September 11, 2008",Baghdad,Iraq,"February 20, 2006",Roadside IED bombing
385,"September 9, 2008",Al Basrah,Iraq,"August 3, 2005",Kidnapping and murder
386,"September 9, 2008",Baghdad,Iraq,"September 2, 2005",IED bombing of convoy
387,"May 28, 2008",Jerusalem, ,"August 9, 2001",Bombing of Sbarro restaurant
388,"November 26, 2007",Cairo,Egypt,"April 7, 2005",Suicide bombing of Cairo bazaar
389,"November 26, 2007",Ofra,West Bank,"June 20, 2003",Attack by gunmen on motor vehicle
390,"October 1, 2007",Lockerbie,Scotland,"December 21, 1988",Bombing of Pan Am 103
391,"October 1, 2007",Dhahran,Saudi Arabia,"June 25, 1996",Bombing of Khobar Towers
392,"July 27, 2007",Riyadh,Saudi Arabia,"May 12, 2003",Bombing of expatriate housing complex
393,"July 27, 2007",Bali,Indonesia,"October 12, 2002",Bombing of nightclubs
394,"July 27, 2007",Davao City,Philippines,"March 5, 2003",Bombing of airport
395,"July 27, 2007",Nairobi,Kenya,"August 7, 1998",Bombing of U.S. Embassy
